PIVlab, ASCII chart output - 08-Oct-2024
FRAME: 228, filenames: A: Basler_acA640-750um__24761715__20241004_145722425_0454.bmp & B: Basler_acA640-750um__24761715__20241004_145722425_0455.bmp, conversion factor xy (px -> m): 0.00011578, conversion factor uv (px/frame -> m/s): 0.034769
x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.001968274824,0.001968274824,NaN,NaN,0
0.001968274824,0.003820769023,-0.1881408542,-0.003834125819,1
0.001968274824,0.005673262756,-0.1904047728,-0.002820486436,1
0.001968274824,0.007525756955,-0.1920438707,0.00191197067,1
0.001968274824,0.009378250688,-0.1927677691,0.006831848063,1
0.001968274824,0.01123074535,-0.1928001046,0.007583226543,1
0.001968274824,0.01308323909,-0.1881266981,0.001615703222,1
0.001968274824,0.01493573282,-0.1854451001,-0.006454894319,1
0.001968274824,0.01678822748,-0.1846573502,-0.01036357135,1
0.001968274824,0.01864072122,-0.1829892844,-0.01231903117,1
0.001968274824,0.02049321495,-0.1853209436,-0.01719330251,1
0.001968274824,0.02234570868,-0.1891035438,-0.02221484296,1
0.001968274824,0.02419820242,-0.1897922903,-0.02205449343,1
0.001968274824,0.02605069801,-0.1875312775,-0.02072910592,1
0.001968274824,0.02790319175,-0.1829674095,-0.0216375906,1
0.001968274824,0.02975568548,-0.1803490818,-0.023741493,1
0.001968274824,0.03160817921,-0.1813996732,-0.02735095657,1
0.001968274824,0.03346067294,-0.1803119034,-0.02903213724,1
0.001968274824,0.03531316668,-0.1795762926,-0.02972533926,1
0.001968274824,0.03716566041,-0.1788270921,-0.02742272243,1
0.001968274824,0.03901815414,-0.1738108844,-0.02172064781,1
0.001968274824,0.04087064788,-0.1680005044,-0.01531982329,1
0.001968274824,0.04272314161,-0.1654482782,-0.009443950839,1
0.001968274824,0.04457563907,-0.1593272984,-0.006001500413,1
0.001968274824,0.0464281328,-0.1336506307,-0.006695854012,1
0.001968274824,0.04828062654,-0.06665184349,-0.00605503656,1
0.001968274824,0.05013312027,-0.03394228965,-0.004873599857,1
0.001968274824,0.051985614,NaN,NaN,0
0.001968274824,0.05383810773,NaN,NaN,0
0.003820769023,0.001968274824,NaN,NaN,0
0.003820769023,0.003820769023,-0.1838274896,-0.002468374325,1
0.003820769023,0.005673262756,-0.1861086637,-0.00335120596,1
0.003820769023,0.007525756955,-0.1880400479,-0.002243347233,1
0.003820769023,0.009378250688,-0.1889383644,0.0001117579959,1
0.003820769023,0.01123074535,-0.1886830032,0.0008005718119,1
0.003820769023,0.01308323909,-0.1842551529,-0.002573450096,1
0.003820769023,0.01493573282,-0.1834772527,-0.007550775073,1
0.003820769023,0.01678822748,-0.1845018715,-0.009378863499,1
0.003820769023,0.01864072122,-0.1827966124,-0.01127812266,1
0.003820769023,0.02049321495,-0.1841700524,-0.01691803709,1
0.003820769023,0.02234570868,-0.1885638237,-0.02312536165,1
0.003820769023,0.02419820242,-0.1914232075,-0.0264586024,1
0.003820769023,0.02605069801,-0.1917754561,-0.02736598998,1
0.003820769023,0.02790319175,-0.187425375,-0.02534778789,1
0.003820769023,0.02975568548,-0.1837774664,-0.02224476077,1
0.003820769023,0.03160817921,-0.1828400344,-0.02153620496,1
0.003820769023,0.03346067294,-0.1801164448,-0.02300673164,1
0.003820769023,0.03531316668,-0.1777273715,-0.02609790117,1
0.003820769023,0.03716566041,-0.1785055101,-0.0254280623,1
0.003820769023,0.03901815414,-0.1777318567,-0.02048814297,1
0.003820769023,0.04087064788,-0.1749723405,-0.01549842302,1
0.003820769023,0.04272314161,-0.1709704101,-0.01197267789,1
0.003820769023,0.04457563907,-0.1547982842,-0.009925716557,1
0.003820769023,0.0464281328,-0.1182106137,-0.009885863401,1
0.003820769023,0.04828062654,-0.05405141413,-0.006368014496,1
0.003820769023,0.05013312027,-0.00897467602,-0.00329773454,1
0.003820769023,0.051985614,NaN,NaN,0
0.003820769023,0.05383810773,NaN,NaN,0
0.005673262756,0.001968274824,NaN,NaN,0
0.005673262756,0.003820769023,-0.1823996156,-0.003170780838,1
0.005673262756,0.005673262756,-0.1841246933,-0.00379158929,1
0.005673262756,0.007525756955,-0.1857220083,-0.004360860679,1
0.005673262756,0.009378250688,-0.1862167418,-0.0047267396,1
0.005673262756,0.01123074535,-0.1848831028,-0.004488801118,1
0.005673262756,0.01308323909,-0.1814344674,-0.004721507896,1
0.005673262756,0.01493573282,-0.1823627353,-0.007491636556,1
0.005673262756,0.01678822748,-0.1846752316,-0.009432826191,1
0.005673262756,0.01864072122,-0.1832510531,-0.01132694446,1
0.005673262756,0.02049321495,-0.1833764911,-0.01629781723,1
0.005673262756,0.02234570868,-0.1875481606,-0.02191094495,1
0.005673262756,0.02419820242,-0.1923123151,-0.02608676441,1
0.005673262756,0.02605069801,-0.1945368201,-0.02737086453,1
0.005673262756,0.02790319175,-0.1919091493,-0.02564395592,1
0.005673262756,0.02975568548,-0.188122794,-0.02134121768,1
0.005673262756,0.03160817921,-0.1849023551,-0.01886986755,1
0.005673262756,0.03346067294,-0.1792477518,-0.02101330832,1
0.005673262756,0.03531316668,-0.1753519028,-0.02302821353,1
0.005673262756,0.03716566041,-0.1772236228,-0.02163564228,1
0.005673262756,0.03901815414,-0.1798336059,-0.01745715551,1
0.005673262756,0.04087064788,-0.1807834804,-0.01437426545,1
0.005673262756,0.04272314161,-0.1777997911,-0.01364921033,1
0.005673262756,0.04457563907,-0.1583700627,-0.01294805855,1
0.005673262756,0.0464281328,-0.118232213,-0.01139304601,1
0.005673262756,0.04828062654,-0.05969873443,-0.006013349164,1
0.005673262756,0.05013312027,-0.006869520061,-0.002271109726,1
0.005673262756,0.051985614,NaN,NaN,0
0.005673262756,0.05383810773,NaN,NaN,0
0.007525756955,0.001968274824,NaN,NaN,0
0.007525756955,0.003820769023,-0.1854951084,-0.005272831768,1
0.007525756955,0.005673262756,-0.1868354678,-0.003755854908,1
0.007525756955,0.007525756955,-0.1866726875,-0.002661322244,1
