PIVlab, ASCII chart output - 08-Oct-2024
FRAME: 225, filenames: A: Basler_acA640-750um__24761715__20241004_145722425_0448.bmp & B: Basler_acA640-750um__24761715__20241004_145722425_0449.bmp, conversion factor xy (px -> m): 0.00011578, conversion factor uv (px/frame -> m/s): 0.034769
x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.001968274824,0.001968274824,NaN,NaN,0
0.001968274824,0.003820769023,-0.1840755939,0.005587149877,1
0.001968274824,0.005673262756,-0.180099383,0.00630002562,1
0.001968274824,0.007525756955,-0.1821785122,0.004211134277,1
0.001968274824,0.009378250688,-0.1868938655,-0.0005787004484,1
0.001968274824,0.01123074535,-0.1904221177,-0.005109093618,1
0.001968274824,0.01308323909,-0.1932680309,-0.006116416771,1
0.001968274824,0.01493573282,-0.1918423325,-0.005934596527,1
0.001968274824,0.01678822748,-0.1889948398,-0.008375886828,1
0.001968274824,0.01864072122,-0.1910791397,-0.01079857908,1
0.001968274824,0.02049321495,-0.1930703372,-0.0134966271,1
0.001968274824,0.02234570868,-0.1887346208,-0.01373861637,1
0.001968274824,0.02419820242,-0.1803437918,-0.01261099335,1
0.001968274824,0.02605069801,-0.1770562232,-0.01247830037,1
0.001968274824,0.02790319175,-0.1799991429,-0.01682434604,1
0.001968274824,0.02975568548,-0.1827837378,-0.02354018204,1
0.001968274824,0.03160817921,-0.1821677536,-0.02673763409,1
0.001968274824,0.03346067294,-0.1793706417,-0.02511054836,1
0.001968274824,0.03531316668,-0.1781882644,-0.02110665292,1
0.001968274824,0.03716566041,-0.172859475,-0.01483388059,1
0.001968274824,0.03901815414,-0.1669339389,-0.008446021006,1
0.001968274824,0.04087064788,-0.1675875485,-0.003693106817,1
0.001968274824,0.04272314161,-0.1703258604,-0.001907514641,1
0.001968274824,0.04457563907,-0.1597101539,-0.005013220944,1
0.001968274824,0.0464281328,-0.1257238835,-0.01309351996,1
0.001968274824,0.04828062654,-0.07720110565,-0.01028888021,1
0.001968274824,0.05013312027,-0.03232868016,-0.003845424857,1
0.001968274824,0.051985614,NaN,NaN,0
0.001968274824,0.05383810773,NaN,NaN,0
0.003820769023,0.001968274824,NaN,NaN,0
0.003820769023,0.003820769023,-0.1862306297,0.001809206558,1
0.003820769023,0.005673262756,-0.1846101135,0.0008558798581,1
0.003820769023,0.007525756955,-0.1857200414,0.0003508498776,1
0.003820769023,0.009378250688,-0.1877631992,-0.001062946045,1
0.003820769023,0.01123074535,-0.1883387864,-0.002654414391,1
0.003820769023,0.01308323909,-0.1886711419,-0.004004282411,1
0.003820769023,0.01493573282,-0.1858571023,-0.006899261381,1
0.003820769023,0.01678822748,-0.1836294085,-0.01059367415,1
0.003820769023,0.01864072122,-0.186519444,-0.01366094593,1
0.003820769023,0.02049321495,-0.1906070411,-0.01825466938,1
0.003820769023,0.02234570868,-0.1910061687,-0.0209731143,1
0.003820769023,0.02419820242,-0.1845266819,-0.01914733648,1
0.003820769023,0.02605069801,-0.1799420118,-0.01721970737,1
0.003820769023,0.02790319175,-0.1788185239,-0.01906112209,1
0.003820769023,0.02975568548,-0.1799271405,-0.02452603541,1
0.003820769023,0.03160817921,-0.181691587,-0.0284871906,1
0.003820769023,0.03346067294,-0.1805261821,-0.02858933248,1
0.003820769023,0.03531316668,-0.1779827178,-0.02600454167,1
0.003820769023,0.03716566041,-0.1733144373,-0.01959145442,1
0.003820769023,0.03901815414,-0.1692385226,-0.01291788835,1
0.003820769023,0.04087064788,-0.1687586159,-0.006612346973,1
0.003820769023,0.04272314161,-0.1693539023,-0.002739499323,1
0.003820769023,0.04457563907,-0.1576114893,-0.003137162887,1
0.003820769023,0.0464281328,-0.1166638732,-0.008719280362,1
0.003820769023,0.04828062654,-0.04330562428,-0.005378794856,1
0.003820769023,0.05013312027,-0.003557170043,-0.003239894286,1
0.003820769023,0.051985614,NaN,NaN,0
0.003820769023,0.05383810773,NaN,NaN,0
0.005673262756,0.001968274824,NaN,NaN,0
0.005673262756,0.003820769023,-0.1874324381,-0.001572976471,1
0.005673262756,0.005673262756,-0.1872543544,-0.003428661497,1
0.005673262756,0.007525756955,-0.1885333955,-0.002347692614,1
0.005673262756,0.009378250688,-0.1899579465,-0.0005921659758,1
0.005673262756,0.01123074535,-0.1887236685,-0.0006906716735,1
0.005673262756,0.01308323909,-0.184676677,-0.003664309625,1
0.005673262756,0.01493573282,-0.1818265319,-0.00802123826,1
0.005673262756,0.01678822748,-0.1815966815,-0.01169235259,1
0.005673262756,0.01864072122,-0.1838557571,-0.01382308919,1
0.005673262756,0.02049321495,-0.1887166053,-0.01864410006,1
0.005673262756,0.02234570868,-0.1925726235,-0.02329310216,1
0.005673262756,0.02419820242,-0.1898123175,-0.02452013269,1
0.005673262756,0.02605069801,-0.1857500225,-0.02355888672,1
0.005673262756,0.02790319175,-0.1821219772,-0.0230350364,1
0.005673262756,0.02975568548,-0.1805226803,-0.02530481108,1
0.005673262756,0.03160817921,-0.1818387359,-0.02781445719,1
0.005673262756,0.03346067294,-0.1803859025,-0.02863208763,1
0.005673262756,0.03531316668,-0.1768588722,-0.0270636864,1
0.005673262756,0.03716566041,-0.1737051159,-0.02153726667,1
0.005673262756,0.03901815414,-0.1714150161,-0.01589811035,1
0.005673262756,0.04087064788,-0.1705599278,-0.01013549231,1
0.005673262756,0.04272314161,-0.1700858027,-0.005986040924,1
0.005673262756,0.04457563907,-0.1593047529,-0.004406959284,1
0.005673262756,0.0464281328,-0.1229197234,-0.006623925176,1
0.005673262756,0.04828062654,-0.0673899129,-0.00394634949,1
